term,count
Manuscripts and Archives Division. The New York Public Library,385685
Dorot Jewish Division. The New York Public Library,310502
"Irma and Paul Milstein Division of United States History, Local History and Genealogy. The New York Public Library",234670
Billy Rose Theatre Division. The New York Public Library,178395
"The Miriam and Ira D. Wallach Division of Art, Prints and Photographs: Photography Collection. The New York Public Library",124308
Music Division. The New York Public Library,124226
"The Miriam and Ira D. Wallach Division of Art, Prints and Photographs: Print Collection. The New York Public Library",104306
George Arents Collection. The New York Public Library,104304
General Research Division. The New York Public Library,94188
Rare Book Division. The New York Public Library,92193
Henry W. and Albert A. Berg Collection of English and American Literature. The New York Public Library,52418
Art and Picture Collection. The New York Public Library,40008
"Schomburg Center for Research in Black Culture, Jean Blackwell Hutson Research and Reference Division. The New York Public Library",32109
Lionel Pincus and Princess Firyal Map Division. The New York Public Library,30757
"Science, Industry and Business Library: General Collection. The New York Public Library",27018
Slavic and East European Collections. The New York Public Library,22622
"Schomburg Center for Research in Black Culture, Manuscripts, Archives and Rare Books Division. The New York Public Library",20847
"The Miriam and Ira D. Wallach Division of Art, Prints and Photographs: Art & Architecture Collection. The New York Public Library",15895
Jerome Robbins Dance Division. The New York Public Library,12730
Carl H. Pforzheimer Collection of Shelley and His Circle. The New York Public Library,9765
Spencer Collection. The New York Public Library,9466
UNK. The New York Public Library,8788
"The Miriam and Ira D. Wallach Division of Art, Prints and Photographs: Picture Collection. The New York Public Library",6971
"Schomburg Center for Research in Black Culture, Photographs and Prints Division. The New York Public Library",3836
#. The New York Public Library,760
Rodgers and Hammerstein Archives of Recorded Sound. The New York Public Library,736
The New York Public Library,371
"External, not an NYPL item, it comes from some other institution. (LEGACY; Please do not use). The New York Public Library",339
"Schomburg Center for Research in Black Culture, Art and Artifacts Division. The New York Public Library",212
Dorothy and Lewis B. Cullman Center for Scholars & Writers. The New York Public Library,178
New York Public Library Archives. The New York Public Library,102
Children's Center at 42nd St. The New York Public Library,49
"No Division, NYPL item, but not associated with any one Division, e.g. NYPL Art Work. The New York Public Library",38
Reference and Research Services. The New York Public Library,32
"Schomburg Center for Research in Black Culture, Moving Image and Recorded Sound Division. The New York Public Library",1
